age,gender,height_cm,weight_kg,bmi,exercise_freq,diet_quality,sleep_hours,stress_level,smoker,alcohol_consumption,chronic_disease,calorie_daily,fat_total_g,exercise_freq_num,diet_quality_num,alcohol_num,smoker_num,chronic_num,gender_num
20.0,Male,161.4,63.6,24.4,3-5 times/week,Average,8.4,10.0,Yes,Moderate,1,2581.0,88.7,4.0,2,2,1,1,0
33.0,Female,158.8,76.2,30.2,3-5 times/week,Excellent,5.5,7.0,No,Moderate,0,1866.0,39.5,4.0,4,2,0,0,1
49.0,Female,154.4,74.6,31.3,3-5 times/week,Poor,8.9,4.0,No,Low,1,2464.0,103.0,4.0,1,1,0,1,1
36.0,Male,171.2,77.4,26.4,Daily,Excellent,6.8,3.0,No,High,0,2888.0,67.5,7.0,4,3,0,0,0
51.0,Male,167.3,69.1,24.7,3-5 times/week,Good,5.8,9.0,No,Moderate,0,2761.0,76.1,4.0,3,2,0,0,0
65.0,Female,173.2,89.4,29.8,Daily,Poor,8.8,5.0,Yes,Low,1,2627.0,120.8,7.0,1,1,1,1,1
48.0,Male,168.9,89.6,31.4,1-2 times/week,Good,6.6,6.0,No,Low,0,2732.0,80.1,1.5,3,1,0,0,0
60.0,Other,166.7,97.5,35.1,1-2 times/week,Good,7.7,1.0,No,Low,0,2306.0,71.2,1.5,3,1,0,0,2
37.0,Other,164.3,98.8,36.6,3-5 times/week,Excellent,6.5,10.0,No,High,0,2149.0,46.0,4.0,4,3,0,0,2
55.0,Male,166.7,97.5,35.1,3-5 times/week,Excellent,5.2,1.0,Yes,Low,0,2749.0,64.3,4.0,4,1,1,0,0
36.0,Male,168.4,62.7,22.1,3-5 times/week,Poor,7.3,4.0,No,Moderate,0,3327.0,138.6,4.0,1,2,0,0,0
47.0,Other,183.4,111.3,33.1,3-5 times/week,Good,5.9,7.0,No,Moderate,1,2562.0,67.4,4.0,3,2,0,1,2
39.0,Female,158.4,70.0,27.9,3-5 times/week,Good,9.7,7.0,No,Moderate,0,2083.0,63.5,4.0,3,2,0,0,1
46.0,Male,154.6,80.8,33.8,Daily,Poor,9.5,3.0,Yes,Low,0,3445.0,135.0,7.0,1,1,1,0,0
49.0,Other,170.4,48.5,16.7,3-5 times/week,Good,7.1,3.0,Yes,Low,0,2150.0,60.3,4.0,3,1,1,0,2
30.0,Female,158.2,58.6,23.4,Daily,Average,7.2,9.0,No,Low,0,1826.0,67.6,7.0,2,1,0,0,1
36.0,Male,177.3,72.9,23.2,3-5 times/week,Good,5.9,4.0,No,High,0,2440.0,51.3,4.0,3,3,0,0,0
58.0,Female,163.0,64.0,24.1,1-2 times/week,Good,7.0,6.0,No,Low,0,1350.0,25.1,1.5,3,1,0,0,1
53.0,Female,162.9,81.7,30.8,1-2 times/week,Poor,7.6,9.0,No,Low,1,2799.0,117.1,1.5,1,1,0,1,1
63.0,Other,163.9,90.0,33.5,Daily,Good,4.3,8.0,No,Low,0,2403.0,67.5,7.0,3,1,0,0,2
25.0,Other,161.4,65.6,25.2,3-5 times/week,Average,7.3,4.0,Yes,Low,0,2746.0,92.7,4.0,2,1,1,0,2
65.0,Other,145.0,52.8,25.1,Daily,Good,8.0,2.0,No,Low,1,2432.0,116.3,7.0,3,1,0,1,2
42.0,Female,162.3,39.5,15.0,Daily,Excellent,7.8,5.0,Yes,Low,0,2096.0,44.9,7.0,4,1,1,0,1
29.0,Other,162.5,96.9,36.7,3-5 times/week,Excellent,7.0,5.0,Yes,Moderate,1,2837.0,112.7,4.0,4,2,1,1,2
36.0,Male,179.0,80.1,25.0,1-2 times/week,Excellent,7.7,3.0,No,Low,0,2192.0,47.2,1.5,4,1,0,0,0
46.0,Female,158.4,51.4,20.5,3-5 times/week,Excellent,4.0,7.0,Yes,Low,0,1589.0,44.7,4.0,4,1,1,0,1
35.0,Male,173.4,89.9,29.9,3-5 times/week,Poor,7.6,8.0,No,Moderate,0,3000.0,120.5,4.0,1,2,0,0,0
24.0,Male,175.2,80.1,26.1,1-2 times/week,Good,7.9,3.0,No,Moderate,0,3293.0,130.0,1.5,3,2,0,0,0
66.0,Other,152.1,50.0,21.6,1-2 times/week,Poor,9.1,7.0,Yes,Low,0,2688.0,100.0,1.5,1,1,1,0,2
54.0,Female,169.5,82.5,28.7,3-5 times/week,Poor,7.0,8.0,Yes,Low,1,2047.0,87.5,4.0,1,1,1,1,1
50.0,Other,165.2,126.4,44.3,3-5 times/week,Poor,5.4,7.0,Yes,Low,0,2826.0,125.8,4.0,1,1,1,0,2
64.0,Other,175.6,115.0,37.3,Daily,Excellent,8.4,6.0,Yes,High,0,2676.0,110.9,7.0,4,3,1,0,2
25.0,Male,175.1,114.1,37.2,1-2 times/week,Good,6.9,8.0,Yes,Moderate,0,2661.0,75.0,1.5,3,2,1,0,0
35.0,Male,161.2,86.0,33.1,3-5 times/week,Good,5.8,7.0,No,Moderate,1,2308.0,65.7,4.0,3,2,0,1,0
36.0,Female,165.8,61.9,22.5,Daily,Good,5.3,8.0,No,Low,0,2057.0,52.5,7.0,3,1,0,0,1
38.0,Other,167.2,76.6,27.4,3-5 times/week,Good,6.3,7.0,No,Low,0,1695.0,59.1,4.0,3,1,0,0,2
26.0,Other,165.9,78.2,28.4,3-5 times/week,Good,8.8,6.0,No,Moderate,0,2606.0,71.2,4.0,3,2,0,0,2
42.0,Female,156.6,79.9,32.6,3-5 times/week,Poor,6.0,5.0,Yes,Moderate,0,2310.0,101.8,4.0,1,2,1,0,1
42.0,Male,183.7,80.3,23.8,3-5 times/week,Excellent,8.8,6.0,Yes,Low,0,2010.0,49.1,4.0,4,1,1,0,0
59.0,Other,161.8,80.9,30.9,3-5 times/week,Good,6.6,5.0,No,High,0,2872.0,84.7,4.0,3,3,0,0,2
41.0,Male,171.1,74.1,25.3,3-5 times/week,Good,7.0,7.0,No,Low,0,2381.0,59.6,4.0,3,1,0,0,0
65.0,Male,169.2,125.1,43.7,1-2 times/week,Good,5.6,9.0,Yes,High,0,2426.0,60.5,1.5,3,3,1,0,0
52.0,Male,178.6,105.9,33.2,3-5 times/week,Average,6.1,2.0,No,High,0,3000.0,114.4,4.0,2,3,0,0,0
67.0,Female,155.6,49.6,20.5,3-5 times/week,Excellent,6.3,6.0,No,Low,1,1523.0,34.2,4.0,4,1,0,1,1
48.0,Female,158.2,87.8,35.1,1-2 times/week,Excellent,7.3,6.0,Yes,High,0,2236.0,54.0,1.5,4,3,1,0,1
40.0,Male,166.3,105.6,38.2,1-2 times/week,Poor,9.5,2.0,No,Low,0,3003.0,128.6,1.5,1,1,0,0,0
47.0,Female,166.4,55.9,20.2,Daily,Average,6.3,5.0,No,High,0,2902.0,108.6,7.0,2,3,0,0,1
38.0,Male,171.4,85.5,29.1,Daily,Good,8.8,3.0,No,Low,0,2521.0,68.6,7.0,3,1,0,0,0
64.0,Female,161.3,62.7,24.1,3-5 times/week,Good,4.6,6.0,Yes,Low,1,1941.0,63.6,4.0,3,1,1,1,1
48.0,Other,173.5,95.4,31.7,3-5 times/week,Excellent,5.8,6.0,Yes,High,1,2734.0,58.3,4.0,4,3,1,1,2
33.0,Male,180.1,83.7,25.8,3-5 times/week,Good,6.6,1.0,No,Low,0,2971.0,91.0,4.0,3,1,0,0,0
63.0,Male,174.6,91.5,30.0,Daily,Poor,8.8,7.0,No,Low,0,2900.0,130.1,7.0,1,1,0,0,0
58.0,Other,174.0,83.0,27.4,Daily,Poor,8.1,7.0,Yes,Low,1,2878.0,114.2,7.0,1,1,1,1,2
18.0,Male,169.8,112.2,38.9,None,Good,7.4,9.0,Yes,High,0,3891.0,165.5,0.0,3,3,1,0,0
19.0,Other,163.3,88.3,33.1,3-5 times/week,Poor,6.6,1.0,No,High,0,3123.0,127.4,4.0,1,3,0,0,2
19.0,Other,161.4,82.3,31.6,1-2 times/week,Good,5.8,6.0,No,Moderate,1,2323.0,70.5,1.5,3,2,0,1,2
25.0,Male,168.7,87.9,30.9,3-5 times/week,Poor,7.3,6.0,No,Moderate,1,3477.0,146.1,4.0,1,2,0,1,0
67.0,Male,177.4,116.1,36.9,1-2 times/week,Average,5.2,9.0,Yes,High,1,3165.0,106.2,1.5,2,3,1,1,0
55.0,Other,168.9,78.2,27.4,None,Good,6.2,2.0,No,Low,1,2175.0,65.3,0.0,3,1,0,1,2
51.0,Female,155.9,54.4,22.4,3-5 times/week,Excellent,6.6,6.0,No,High,1,2086.0,51.5,4.0,4,3,0,1,1
55.0,Other,149.8,64.6,28.8,Daily,Average,6.7,4.0,No,Moderate,1,3080.0,111.1,7.0,2,2,0,1,2
35.0,Other,181.1,73.8,22.5,Daily,Excellent,8.1,10.0,No,Low,0,2591.0,60.8,7.0,4,1,0,0,2
38.0,Other,155.4,64.0,26.5,1-2 times/week,Average,6.8,9.0,No,Low,0,2510.0,93.5,1.5,2,1,0,0,2
55.0,Male,170.8,87.8,30.1,1-2 times/week,Good,7.9,6.0,No,Low,0,2391.0,62.3,1.5,3,1,0,0,0
55.0,Other,159.8,65.4,25.6,3-5 times/week,Poor,5.6,7.0,Yes,Low,0,2650.0,122.4,4.0,1,1,1,0,2
48.0,Male,189.5,88.3,24.6,3-5 times/week,Excellent,7.3,8.0,No,Moderate,0,2562.0,67.0,4.0,4,2,0,0,0
37.0,Male,175.7,46.6,15.1,3-5 times/week,Excellent,7.9,9.0,No,Low,0,2211.0,53.0,4.0,4,1,0,0,0
